experiment_id,timestamp,model,square_id,sequence_length,hidden_size,num_layers,channels,kernel_size,dilations,dropout,learning_rate,batch_size,optimizer,epochs_run,train_loss_final,val_MAE,val_RMSE,val_MAPE,training_time_seconds,notes
EXP-LSTM-001,2026-09-17T13:04:39.297171+00:00,LSTM,5161,24,32,1,,,,0.0,0.001,64,Adam,32,0.02706,109.625,157.296,10.445,22.71,"Baseline (seq=24, hidden=32, layers=1). Beats persistence on MAE/RMSE, not MAPE. Clean convergence, no overfitting. Next: test full-day sequence length given confirmed 24h ACF periodicity."
EXP-LSTM-002,2026-09-17T13:09:14.633206+00:00,LSTM,5161,144,32,1,,,,0.0,0.001,64,Adam,17,0.02641,111.185,159.236,10.41,47.31,"seq_len 24->144, else equal. MAE/RMSE both slightly worse, training time ~2x. Confirms PACF finding that lag-1 dominates; longer context not exploited by this small model. Reverting to seq_len=24."
EXP-LSTM-003,2026-09-17T13:12:14.430753+00:00,LSTM,5161,24,64,1,,,,0.0,0.001,64,Adam,24,0.02748,107.266,158.025,9.034,30.94,"Reverted seq_len=24, hidden 32->64. Best result yet: beats persistence on MAE, RMSE, and MAPE simultaneously. Next: further capacity increase."
EXP-LSTM-004,2026-09-17T13:14:18.285816+00:00,LSTM,5161,24,128,1,,,,0.0,0.001,64,Adam,18,0.02857,108.717,160.745,8.965,49.4,"hidden 64->128. Train loss AND val MAE/RMSE regressed vs Exp3; MAPE marginally better. Stopped earlier (18 vs 24 epochs). Not a clear win for ~2x training time. Next: test depth instead of width."
EXP-LSTM-005,2026-09-17T13:17:23.637073+00:00,LSTM,5161,24,64,2,,,,0.0,0.001,64,Adam,15,0.02801,110.537,160.96,10.067,37.52,"layers 1->2 at hidden=64. Regressed on all three metrics vs Exp3, stopped earliest (15 epochs). Suggests hidden=64/layers=1 is near-optimal capacity for this 38-day univariate series."
EXP-LSTM-006,2026-09-17T13:20:02.292822+00:00,LSTM,5161,24,64,1,,,,0.0,0.0003,64,Adam,35,0.02781,111.621,161.841,9.641,40.77,"lr 1e-3->3e-4. Ran longer (35 epochs) but converged to worse train loss and worse val metrics than Exp3. Refutes hypothesis that 1e-3 was too aggressive for Exp4/5; capacity regressions more likely reflect limited training data than LR."
EXP-LSTM-007,2026-09-17T13:24:38.990537+00:00,LSTM,5161,24,64,1,,,,0.0,0.003,64,Adam,14,0.02808,106.682,159.11,8.984,16.9,"lr 1e-3->3e-3. MAE/MAPE marginally better, RMSE marginally worse than Exp3 (~1%, within noise). Trains 45% faster. SELECTED AS FINAL LSTM CONFIG: seq=24, hidden=64, layers=1, lr=3e-3. Rationale: equivalent accuracy to all alternatives tested, lowest cost under CPU-only constraint."
EXP-TCN-001,2026-09-17T13:34:08.997917+00:00,TCN,5161,24,,,"32,32,32,32",3,"1,2,4,8",0.0,0.001,64,Adam,13,0.02639,106.944,156.529,9.288,32.77,"Baseline TCN: 4 layers, 32 channels each, kernel=3, dilations 1/2/4/8 (receptive field 61). Same seq_len=24 as LSTM final config for direct comparison."
EXP-TCN-002,2026-09-17T13:39:31.628408+00:00,TCN,5161,144,,,"32,32,32,32,32,32",3,"1,2,4,8,16,32",0.0,0.001,64,Adam,17,0.0247,100.376,148.832,8.459,203.96,"Extended to 6 layers (dilations 1/2/4/8/16/32, receptive field 253) at seq_len=144. Exp3 confirmed gain is specifically from receptive field reaching lag 144, not just longer input (isolated confound). Exp4 showed halving channels costs ~3.6% MAE/RMSE for 53% time savings - not worth it. SELECTED AS FINAL TCN CONFIG."
EXP-TCN-003,2026-09-17T13:43:45.701633+00:00,TCN,5161,144,,,"32,32,32,32",3,"1,2,4,8",0.0,0.001,64,Adam,10,0.02621,111.852,155.899,12.666,74.03,"Isolating seq_len=144 vs depth confound: reverted to Exp1 architecture (receptive field 61, does NOT reach lag 144) at seq_len=144. Regressed vs Exp1, confirming Exp2 gain came specifically from receptive field reaching lag 144."
EXP-TCN-004,2026-09-17T13:46:35.453580+00:00,TCN,5161,144,,,"16,16,16,16,16,16",3,"1,2,4,8,16,32",0.0,0.001,64,Adam,17,0.02472,103.97,154.243,8.649,95.06,"Same receptive field as Exp2 but halved channels 32->16. Costs ~3.6% MAE/RMSE for 53% time savings. Not selected given accuracy priority."
EXP-XF-001,2026-09-17T13:51:33.462942+00:00,Transformer,5161,24,32,2,,,,0.0,0.001,64,Adam,13,0.02773,109.929,161.523,9.161,28.87,"Baseline: d_model=32, 2 heads, 2 encoder layers, dim_feedforward=64. seq_len=24 for direct comparison with LSTM/TCN Exp1."
EXP-XF-002,2026-09-17T13:55:11.208917+00:00,Transformer,5161,144,32,2,,,,0.0,0.001,64,Adam,11,0.02992,105.593,157.397,8.663,131.96,"seq_len 24->144. Attention needs no architectural change to reach lag 144, unlike TCN. Confirms daily periodicity helps here too."
EXP-XF-003,2026-09-17T14:06:45.749233+00:00,Transformer,5161,144,64,2,,,,0.0,0.001,64,Adam,17,0.02751,102.469,154.457,7.81,355.12,"d_model 32->64 improved all three metrics vs Exp2, MAPE -9.8%. Training time nearly tripled. SELECTED AS FINAL TRANSFORMER CONFIG given continued improvement, tuning stopped here given rapidly compounding cost."
